,,,,,,,,,,,,,,frequentist piecewise,,,,,,,,,,,,,,,,,,,frequentist bspline,,,,,,,,,,,,,,,,,,,frequentist truncatedpower,,,,,,,,,,,,,,,,,,,Bayesian piecewise,,,,,,,,,,,,,,,,,,,Bayesian spline,,,,,,,,,,,,,,,,,,,Bayesian truncated power,,,,,,,,,,,,,,,,,,
t,n,difference,pmiss,true group difference 1,true group difference 2,true group difference 3,true group difference 4,true group difference 5,true group difference 6,true group difference 7,true group difference 8,true group difference 9,# of knots,convergence rate,bias1,bias2,bias3,bias4,bias5,bias6,bias7,bias8,bias9,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,convergence rate,bias1,bias2,bias3,bias4,bias5,bias6,bias7,bias8,bias9,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,convergence rate,bias1,bias2,bias3,bias4,bias5,bias6,bias7,bias8,bias9,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,convergence rate,bias1,bias2,bias3,bias4,bias5,bias6,bias7,bias8,bias9,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,convergence rate,bias1,bias2,bias3,bias4,bias5,bias6,bias7,bias8,bias9,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,convergence rate,bias1,bias2,bias3,bias4,bias5,bias6,bias7,bias8,bias9,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9
5.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.991,-0.010,,-0.002,,0.002,,0.001,,0.005,0.948,,0.942,,0.934,,0.941,,0.932,0.961,-0.011,,-0.003,,0.001,,0.000,,0.004,0.948,,0.943,,0.936,,0.942,,0.931,0.996,-0.012,,-0.005,,-0.001,,-0.002,,0.001,0.948,,0.943,,0.934,,0.940,,0.932,0.946,-0.011,,-0.004,,0.002,,-0.002,,0.002,0.955,,0.956,,0.957,,0.973,,0.974,0.996,-0.006,,-0.001,,0.004,,0.002,,0.004,0.959,,0.947,,0.942,,0.940,,0.940,1.000,-0.013,,-0.007,,0.005,,-0.004,,0.005,0.956,,0.957,,0.981,,0.999,,1.000
9.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.992,0.015,0.012,0.007,0.006,0.009,0.010,0.008,0.009,0.013,0.952,0.958,0.957,0.959,0.961,0.953,0.949,0.947,0.948,0.915,0.013,0.009,0.005,0.004,0.006,0.007,0.005,0.006,0.010,0.952,0.958,0.957,0.960,0.962,0.953,0.951,0.950,0.952,0.988,0.015,0.011,0.007,0.006,0.009,0.010,0.007,0.008,0.013,0.953,0.959,0.958,0.959,0.961,0.953,0.949,0.947,0.949,0.999,0.018,0.015,0.007,0.008,0.013,0.010,0.007,0.012,0.019,0.953,0.957,0.963,0.964,0.966,0.968,0.976,0.979,0.976,1.000,0.033,0.029,0.024,0.024,0.028,0.025,0.023,0.026,0.030,0.956,0.956,0.955,0.952,0.951,0.947,0.951,0.942,0.947,1.000,0.018,0.015,0.006,0.009,0.016,0.012,0.006,0.012,0.020,0.955,0.956,0.971,0.984,0.993,0.999,0.999,1.000,1.000
17.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.971,0.015,0.011,0.008,0.009,0.011,0.009,0.006,0.007,0.010,0.959,0.952,0.947,0.946,0.947,0.950,0.943,0.950,0.952,0.870,0.011,0.006,0.004,0.005,0.007,0.005,0.002,0.003,0.005,0.956,0.952,0.946,0.945,0.946,0.950,0.943,0.949,0.949,0.968,0.013,0.009,0.007,0.008,0.010,0.008,0.005,0.006,0.009,0.958,0.952,0.946,0.946,0.947,0.951,0.944,0.952,0.955,0.998,0.017,0.014,0.008,0.013,0.018,0.012,0.004,0.009,0.015,0.939,0.934,0.941,0.944,0.950,0.947,0.947,0.955,0.954,0.992,0.013,0.007,-0.001,0.007,0.013,0.005,-0.006,0.003,0.010,0.938,0.925,0.927,0.935,0.931,0.923,0.927,0.929,0.937,0.997,0.017,0.016,0.008,0.015,0.023,0.017,0.007,0.013,0.019,0.948,0.943,0.965,0.987,1.000,1.000,1.000,1.000,1.000
5.000,300.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.995,-0.002,,-0.001,,-0.001,,-0.003,,-0.003,0.963,,0.962,,0.950,,0.945,,0.940,0.954,-0.001,,-0.001,,-0.002,,-0.003,,-0.004,0.961,,0.961,,0.955,,0.944,,0.937,1.000,-0.002,,-0.001,,-0.001,,-0.002,,-0.003,0.963,,0.962,,0.955,,0.945,,0.940,0.901,0.001,,-0.001,,-0.001,,-0.004,,-0.004,0.961,,0.968,,0.970,,0.966,,0.950,0.924,-0.004,,-0.002,,-0.003,,-0.005,,-0.006,0.963,,0.964,,0.961,,0.961,,0.949,1.000,-0.002,,-0.002,,0.001,,-0.003,,-0.003,0.963,,0.967,,0.975,,0.982,,0.993
9.000,300.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.989,0.004,0.002,0.002,0.003,0.004,0.003,0.002,0.002,0.002,0.951,0.952,0.951,0.949,0.951,0.948,0.938,0.935,0.938,0.927,0.002,0.001,0.000,0.001,0.002,0.001,0.000,0.000,-0.001,0.951,0.952,0.949,0.946,0.949,0.945,0.937,0.932,0.935,0.986,0.003,0.002,0.002,0.003,0.004,0.003,0.002,0.002,0.002,0.952,0.953,0.952,0.949,0.952,0.948,0.938,0.935,0.938,0.983,0.000,0.001,0.000,0.003,0.005,0.002,-0.002,0.000,0.000,0.959,0.958,0.954,0.958,0.967,0.956,0.952,0.949,0.958,1.000,0.001,0.001,0.000,0.003,0.005,0.001,-0.002,-0.001,0.000,0.961,0.959,0.953,0.951,0.952,0.948,0.946,0.941,0.949,0.992,0.001,0.002,-0.002,0.004,0.009,0.003,-0.003,0.000,0.001,0.958,0.957,0.955,0.967,0.983,0.985,0.995,0.999,0.999
17.000,300.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.959,0.003,0.003,0.003,0.004,0.006,0.004,0.002,0.002,0.004,0.948,0.945,0.940,0.938,0.941,0.944,0.947,0.941,0.939,0.893,0.003,0.003,0.002,0.003,0.004,0.003,0.001,0.001,0.002,0.952,0.948,0.946,0.942,0.946,0.951,0.951,0.941,0.941,0.983,0.003,0.003,0.002,0.004,0.005,0.004,0.002,0.003,0.004,0.951,0.949,0.944,0.941,0.942,0.946,0.949,0.943,0.942,0.999,0.002,0.003,0.001,0.005,0.008,0.004,-0.001,0.002,0.006,0.954,0.945,0.947,0.941,0.950,0.958,0.952,0.952,0.949,1.000,0.011,0.013,0.008,0.015,0.020,0.014,0.008,0.013,0.017,0.949,0.938,0.940,0.935,0.940,0.941,0.943,0.936,0.938,0.999,0.000,0.003,0.000,0.005,0.009,0.005,-0.002,0.003,0.007,0.955,0.946,0.955,0.967,0.988,0.994,0.999,1.000,1.000
5.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.995,-0.001,,-0.002,,0.000,,0.000,,0.000,0.958,,0.959,,0.956,,0.952,,0.946,0.958,-0.001,,-0.002,,-0.001,,-0.001,,-0.001,0.956,,0.957,,0.954,,0.952,,0.944,0.998,-0.001,,-0.001,,0.000,,0.000,,0.000,0.958,,0.959,,0.956,,0.952,,0.946,0.869,-0.001,,-0.001,,0.002,,0.001,,0.000,0.957,,0.967,,0.964,,0.956,,0.954,0.999,-0.001,,-0.001,,0.000,,-0.001,,-0.001,0.967,,0.965,,0.970,,0.963,,0.949,1.000,-0.001,,-0.003,,0.002,,-0.002,,0.000,0.956,,0.965,,0.968,,0.976,,0.980
9.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.989,-0.002,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003,-0.002,-0.002,0.946,0.952,0.954,0.957,0.955,0.953,0.953,0.949,0.951,0.931,0.000,0.000,0.000,-0.001,-0.001,-0.001,-0.001,0.000,0.001,0.950,0.955,0.958,0.961,0.959,0.956,0.956,0.952,0.953,0.992,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.001,-0.001,0.947,0.952,0.954,0.957,0.955,0.953,0.953,0.949,0.951,0.990,-0.001,-0.001,-0.002,-0.003,-0.002,-0.002,-0.004,-0.001,0.000,0.953,0.947,0.953,0.966,0.971,0.957,0.965,0.965,0.960,1.000,-0.005,-0.005,-0.006,-0.006,-0.005,-0.006,-0.007,-0.005,-0.003,0.945,0.943,0.946,0.950,0.953,0.943,0.946,0.944,0.951,0.681,0.003,-0.003,-0.002,-0.004,0.000,-0.001,-0.004,-0.001,0.002,0.960,0.954,0.956,0.969,0.980,0.981,0.988,0.995,0.993
17.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.955,-0.016,-0.002,-0.002,-0.002,-0.001,-0.004,-0.004,-0.004,-0.004,0.941,0.950,0.947,0.949,0.947,0.947,0.949,0.951,0.949,0.850,-0.001,-0.002,-0.002,-0.002,-0.003,-0.004,-0.004,-0.004,-0.004,0.940,0.946,0.943,0.945,0.944,0.944,0.945,0.945,0.943,0.979,-0.002,-0.003,-0.003,-0.002,-0.003,-0.004,-0.004,-0.004,-0.004,0.944,0.951,0.948,0.949,0.948,0.948,0.949,0.949,0.947,1.000,-0.001,-0.001,-0.003,-0.002,-0.001,-0.002,-0.005,-0.003,-0.003,0.943,0.948,0.957,0.954,0.951,0.953,0.951,0.963,0.960,0.997,-0.005,-0.006,-0.011,-0.008,-0.006,-0.007,-0.012,-0.010,-0.009,0.941,0.940,0.942,0.942,0.941,0.935,0.933,0.937,0.948,0.997,0.000,0.001,-0.003,0.000,0.002,0.000,-0.004,-0.002,-0.002,0.944,0.947,0.960,0.966,0.977,0.989,0.993,0.999,1.000
